Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
24/07/2017,Homeplus Express,462.3790087,462.3790087
24/07/2017,Mega Mart,547.6093294,547.6093294
24/07/2017,Costco Korea,31430.83838,31430.83838
24/07/2017,VIC Market,375,375
24/07/2017,Hyundae Department,1380.466472,1380.466472
24/07/2017,Market 999,36.88046647,36.88046647
24/07/2017,Homeplus 365,14.72303207,14.72303207
24/07/2017,Emart24,0,0
24/07/2017,Mini Stop,0,0
24/07/2017,No Brand,0,0
24/07/2017,CU,0,0
24/07/2017,Shinsegae Department,0,0
24/07/2017,Sampling ,1096.281633,1096.281633
24/07/2017,Loss,0,0
24/07/2017,Wholesale,39166.33673,39166.33673
24/07/2017,E-commerce,849.1836735,849.1836735
24/07/2017,Retail,72664.24684,72664.24684
31/07/2017,Lotte Mart,6750.51312,6750.51312
31/07/2017,Lotte super,2007.848397,2007.848397
31/07/2017,Homeplus,9467.965015,9467.965015
31/07/2017,AK Plaza,181,181
31/07/2017,GS Retail,820,820
31/07/2017,Lotte Department,318,318
31/07/2017,GS25,100,100
31/07/2017,Emart everyday,1999.596876,1999.596876
31/07/2017,CS Distribution,0,0
31/07/2017,Eland,501.2244898,501.2244898
31/07/2017,Emart,9928.386569,9928.386569
31/07/2017,Emart traders,2430.670611,2430.670611
31/07/2017,Homeplus Express,1239.790088,1239.790088
31/07/2017,Mega Mart,474.7813411,474.7813411
31/07/2017,Costco Korea,6764.727273,6764.727273
31/07/2017,VIC Market,220,220
31/07/2017,Hyundae Department,1399.970845,1399.970845
31/07/2017,Market 999,44.11078717,44.11078717
31/07/2017,Homeplus 365,11.98250729,11.98250729
31/07/2017,Emart24,30.97,30.97
31/07/2017,Mini Stop,0,0
31/07/2017,No Brand,0,0
31/07/2017,CU,0,0
31/07/2017,Shinsegae Department,0,0
31/07/2017,Sampling ,968.1897958,968.1897958
31/07/2017,Loss,0,0
31/07/2017,Wholesale,43418.45627,43418.45627
31/07/2017,E-commerce,368.4985423,368.4985423
31/07/2017,Retail,44691.53792,44691.53792
07/08/2017,Lotte Mart,8148.562682,8148.562682
07/08/2017,Lotte super,1833.087464,1833.087464
07/08/2017,Homeplus,7459.895044,7459.895044
07/08/2017,AK Plaza,314,314
07/08/2017,GS Retail,1695,1695
07/08/2017,Lotte Department,271,271
07/08/2017,GS25,97,97
07/08/2017,Emart everyday,1141.266472,1141.266472
07/08/2017,CS Distribution,0,0
07/08/2017,Eland,796.3848397,796.3848397
07/08/2017,Emart,17016.20087,17016.20087
07/08/2017,Emart traders,2406.525656,2406.525656
07/08/2017,Homeplus Express,964.4606414,964.4606414
07/08/2017,Mega Mart,1035.539359,1035.539359
07/08/2017,Costco Korea,5328,5328
07/08/2017,VIC Market,285,285
